"","Overall"
"hotelResort Hotel",5.34133428803673
"lead_time",27.8516664577811
"arrival_date_week_number",8.06067847214298
"stays_in_weekend_nights",5.23290313898551
"stays_in_week_nights",8.08406745433465
"adults",9.94709323364034
"children",8.64941011161633
"is_repeated_guest",7.71262703833978
"previous_cancellations",36.1140044574108
"previous_bookings_not_canceled",16.3772802133808
"booking_changes",25.6188766243556
"deposit_typeNon Refund",40.22881181061
"deposit_typeRefundable",0.478453979732624
"days_in_waiting_list",7.45947317154929
"adr",30.8467329717037
"required_car_parking_spaces",0.00287125198807215
"total_of_special_requests",37.2016659923016
